intervention,description,unit,notes,p1,p5,p10,p25,p50,p75,p90,p95,p99,mean
shrimp_welfare,Shrimp welfare interventions,shrimp per $,"Weighted mix: ~90% slaughter pathway, ~10% water quality; harm sign not applied to reach",4378.131864397828,5758.225173169017,6696.23718256826,8602.536770873337,11399.737475076925,15081.085655685718,19430.016942788443,22617.665656802852,30113.543433778745,12434.98558187286
fish_welfare,Farmed fish welfare (carp proxy),fish per $,,0.25018786840171015,0.5010809963912857,0.7284147641791485,1.3625290484548598,2.7349704912739137,5.513983383401811,10.384957700514516,15.125831236498096,30.692279888261794,4.644855894582004
invertebrate_welfare,Invertebrate welfare (BSF proxy),insects per $,Insects affected over persistence period; ~20% P(success); harm sign not applied to reach,0.0,0.0,0.0,0.0,0.0,0.0,1404.8875192797043,3087.886012716489,9586.932446145749,553.2457638233676
wild_animal_welfare,Wild animal welfare (mixture: mammals + invertebrates),animals per $,Mixture of wild mammal and invertebrate models; harm sign not applied to reach,0.0,0.0,0.0,0.0,0.0,0.009113075806936355,8.39231158644778,625.5871775182411,3287.766463492077,139.88173027301073
