intervention,description,unit,notes,p1,p5,p10,p25,p50,p75,p90,p95,p99,mean
shrimp_welfare,Shrimp welfare interventions,SY per shrimp (pre-moral-weight),Negative values possible: ~12.5% P(harm) on water quality pathway,-7.848086153504175e-05,2.3231411123091762e-05,4.856123415595297e-05,9.050104605147004e-05,0.00016008773580338632,0.0002750970867780886,0.00044403264710373656,0.0006007681297714036,0.0010736820683427133,0.00021589517323431312
fish_welfare,Farmed fish welfare (carp proxy),SY per fish (pre-moral-weight),,0.005720446303941617,0.010734631410439201,0.014574859883596166,0.022822017018842202,0.03517723221495769,0.051383677461850276,0.06952268078164764,0.08172885954899323,0.10707280097076886,0.03927113990610295
invertebrate_welfare,Invertebrate welfare (BSF proxy),SY per insect (pre-moral-weight),Negative values possible: ~13% P(harm),-0.006136909302994962,0.0,0.0,0.0,0.0,0.0,0.004978348186068597,0.006827327616759922,0.009492826875289651,0.0008199042816232165
wild_animal_welfare,Wild animal welfare (mixture),SY per animal (pre-moral-weight),Negative values possible: ~20% P(harm),-0.011323703820978625,-0.002619190614478437,0.0,0.0,0.0,0.0,0.00697211323339023,0.010281664139879335,0.02013947810366355,0.001328132106806574
