scenario,ea_awf,givewell,leaf,longview_ai,longview_nuclear,navigation_fund_cagefree,navigation_fund_general,sentinel_bio
baseline,0.117833,0.406944,0.038889,0.050333,0.029722,0.110833,0.206667,0.038778
all effects far,0.117833,0.406944,0.038889,0.050333,0.029722,0.110833,0.206667,0.038778
all effects near,0.117833,0.441167,0.066833,0.039167,0.028833,0.110833,0.158333,0.037000
health effects near,0.117833,0.437444,0.061778,0.038833,0.028333,0.110833,0.167778,0.037167
