fund,rel_scenario,cum_risk_scenario,rel_per_10m,cum_risk_100yr,cause_fraction,r_max,peak_annual_abs_risk_reduction_per_10m,peak_annual_abs_risk_reduction_bp_per_1b
sentinel_bio,conservative,low_5pct,0.001,0.05,0.006243283582089552,0.0009104733674311642,5.684343426812777e-09,0.005684343426812777
sentinel_bio,conservative,central_10pct,0.001,0.1,0.006243283582089552,0.0018696725302339823,1.1672895811893654e-08,0.011672895811893654
sentinel_bio,conservative,high_65pct,0.001,0.65,0.006243283582089552,0.018509554676135492,1.1556039882130563e-07,0.11556039882130563
sentinel_bio,central,low_5pct,0.004,0.05,0.006243283582089552,0.0009104733674311642,2.2737373707251107e-08,0.022737373707251107
sentinel_bio,central,central_10pct,0.004,0.1,0.006243283582089552,0.0018696725302339823,4.6691583247574616e-08,0.046691583247574615
sentinel_bio,central,high_65pct,0.004,0.65,0.006243283582089552,0.018509554676135492,4.622415952852225e-07,0.4622415952852225
sentinel_bio,optimistic,low_5pct,0.01,0.05,0.006243283582089552,0.0009104733674311642,5.6843434268127764e-08,0.05684343426812776
sentinel_bio,optimistic,central_10pct,0.01,0.1,0.006243283582089552,0.0018696725302339823,1.1672895811893655e-07,0.11672895811893655
sentinel_bio,optimistic,high_65pct,0.01,0.65,0.006243283582089552,0.018509554676135492,1.1556039882130564e-06,1.1556039882130564
longview_nuclear,conservative,low_5pct,0.0001,0.05,0.03513432835820895,0.0009104733674311642,3.1988870252730753e-09,0.0031988870252730754
longview_nuclear,conservative,central_10pct,0.0001,0.1,0.03513432835820895,0.0018696725302339823,6.568968859956409e-09,0.006568968859956409
longview_nuclear,conservative,high_65pct,0.0001,0.65,0.03513432835820895,0.018509554676135492,6.503207717555663e-08,0.06503207717555663
longview_nuclear,central,low_5pct,0.0002,0.05,0.03513432835820895,0.0009104733674311642,6.3977740505461505e-09,0.006397774050546151
longview_nuclear,central,central_10pct,0.0002,0.1,0.03513432835820895,0.0018696725302339823,1.3137937719912818e-08,0.013137937719912817
longview_nuclear,central,high_65pct,0.0002,0.65,0.03513432835820895,0.018509554676135492,1.3006415435111326e-07,0.13006415435111326
longview_nuclear,optimistic,low_5pct,0.0003,0.05,0.03513432835820895,0.0009104733674311642,9.596661075819224e-09,0.009596661075819224
longview_nuclear,optimistic,central_10pct,0.0003,0.1,0.03513432835820895,0.0018696725302339823,1.9706906579869222e-08,0.019706906579869222
longview_nuclear,optimistic,high_65pct,0.0003,0.65,0.03513432835820895,0.018509554676135492,1.9509623152666985e-07,0.19509623152666986
longview_ai,conservative,low_5pct,0.0001,0.05,0.918910447761194,0.0009104733674311642,8.366434897408133e-08,0.08366434897408133
longview_ai,conservative,central_10pct,0.0001,0.1,0.918910447761194,0.0018696725302339823,1.7180616219241134e-07,0.17180616219241135
longview_ai,conservative,high_65pct,0.0001,0.65,0.918910447761194,0.018509554676135492,1.7008623175307969e-06,1.7008623175307969
longview_ai,central,low_5pct,0.0002,0.05,0.918910447761194,0.0009104733674311642,1.6732869794816266e-07,0.16732869794816266
longview_ai,central,central_10pct,0.0002,0.1,0.918910447761194,0.0018696725302339823,3.436123243848227e-07,0.3436123243848227
longview_ai,central,high_65pct,0.0002,0.65,0.918910447761194,0.018509554676135492,3.4017246350615938e-06,3.4017246350615937
longview_ai,optimistic,low_5pct,0.0003,0.05,0.918910447761194,0.0009104733674311642,2.5099304692224395e-07,0.25099304692224395
longview_ai,optimistic,central_10pct,0.0003,0.1,0.918910447761194,0.0018696725302339823,5.154184865772339e-07,0.5154184865772339
longview_ai,optimistic,high_65pct,0.0003,0.65,0.918910447761194,0.018509554676135492,5.10258695259239e-06,5.1025869525923895
