fund,display_name,n_samples,mean,p0.001,p0.01,p0.1,p1,p5,p10,p25,p50,p75,p90,p95,p99,p99.9,p99.99,p99.999
sentinel_bio,Sentinel Bio,1000000,1.4071518479682102e+26,52317617179501.77,69932905869175.35,92211122879805.78,129723136145378.94,204343779197316.6,333135897321564.3,1453236950986495.0,1.7373066951806422e+16,2.0793253339614298e+17,9.23714910275425e+17,1.6775213275081815e+18,1.1783974370512416e+27,2.667896572025369e+28,1.2778951781330062e+29,3.0430471947723116e+29
longview_nuclear,Longview Philanthropy Nuclear Weapons Policy Fund,1000000,1.40715135954633e+26,52317593203382.76,69932908223965.03,92211121335696.78,129723695237384.47,204336272160151.56,333135819018526.56,1453226932760292.8,1.7373122677501416e+16,2.0793253689041635e+17,9.23717184049697e+17,1.6775212920808904e+18,1.1783976525735968e+27,2.6678966136583063e+28,1.2778927664624948e+29,3.0430419760220706e+29
longview_ai,Longview Philanthropy AI Program,1000000,1.4073618638154272e+26,52318499631379.88,69933831317726.59,92239560266036.45,129746010801629.83,204374869634121.3,333198534696334.44,1453477909778194.5,1.737624286177928e+16,2.079505008389719e+17,9.239339408024431e+17,1.6776485208026355e+18,1.178400708643701e+27,2.667899265345872e+28,1.2779256370437298e+29,3.043057627306595e+29
