effect_type,unit,p1,p5,p10,p25,p50,p75,p90,p95,p99,mean
YLLs (life_years_saved),YLLs per $1M,4263.881918520121,6314.200322090039,7693.993614512737,10700.571019881689,15238.397744291247,22930.08284528178,34710.92072240146,44792.29255487285,80533.4048537185,19508.230234725102
YLDs_averted,YLDs per $1M,395.0820306041532,584.4447521497774,713.1542878936839,993.5379324309065,1441.4005196855614,2163.1144814710296,3245.0318073890885,4200.1357365032845,7466.188139672964,1821.8361206036375
income_doublings,income doublings per $1M,6032.0928886525435,8730.298719455775,10555.234071066367,14503.170760774667,20847.247332396026,30934.077905076472,46611.93075984882,63002.73969305753,114841.42143593518,26635.40381352894
