fund_varied,multiplier,recipient_fund,weighted_allocation_pct,allocation_diff_pp,nashBargaining,credenceWeighted,mec,met,splitCycle,borda
givewell,1.5,ea_awf,12.1800,-0.5950,9.8000,9.8000,17.0000,17.0000,17.0000,10.0000
givewell,1.5,givewell,22.1305,9.1775,22.8500,22.8500,9.0000,17.0000,36.1000,67.0000
givewell,1.5,leaf,0.0080,-4.9300,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000
givewell,1.5,longview_ai,22.7175,-0.5000,34.9500,34.9500,0.0000,0.0000,0.0000,0.0000
givewell,1.5,longview_nuclear,3.8230,0.0000,2.1000,2.1000,15.0000,2.0000,0.1000,0.0000
givewell,1.5,navigation_fund_cagefree,15.6100,-0.0325,15.4000,15.4000,16.0000,16.0000,16.0000,16.0000
givewell,1.5,navigation_fund_general,14.9380,-3.1200,7.0000,7.0000,24.0000,42.0000,30.6000,7.0000
givewell,1.5,sentinel_bio,8.5930,0.0000,7.9000,7.9000,19.0000,6.0000,0.1000,0.0000
givewell,2,ea_awf,11.8850,-0.8900,9.3000,9.3000,17.0000,17.0000,17.0000,11.5000
givewell,2,givewell,24.1980,11.2450,23.8000,23.8000,15.0000,17.0000,43.6000,64.5000
givewell,2,leaf,0.0080,-4.9300,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000
givewell,2,longview_ai,22.7175,-0.5000,34.9500,34.9500,0.0000,0.0000,0.0000,0.0000
givewell,2,longview_nuclear,3.8230,0.0000,2.1000,2.1000,15.0000,2.0000,0.1000,0.0000
givewell,2,navigation_fund_cagefree,15.6100,-0.0325,15.4000,15.4000,16.0000,16.0000,16.0000,16.0000
givewell,2,navigation_fund_general,13.1655,-4.8925,6.5500,6.5500,18.0000,42.0000,23.1000,8.0000
givewell,2,sentinel_bio,8.5930,0.0000,7.9000,7.9000,19.0000,6.0000,0.1000,0.0000
leaf,0.25,ea_awf,12.8075,0.0325,10.5500,10.5500,17.0000,17.0000,17.0000,17.0000
leaf,0.25,givewell,17.9980,5.0450,21.4000,21.4000,0.0000,12.0000,25.1000,44.0000
leaf,0.25,leaf,0.0080,-4.9300,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000
leaf,0.25,longview_ai,23.2175,0.0000,34.9500,34.9500,0.0000,5.0000,0.0000,0.0000
leaf,0.25,longview_nuclear,3.8230,0.0000,2.1000,2.1000,15.0000,2.0000,0.1000,0.0000
leaf,0.25,navigation_fund_cagefree,15.6425,0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
leaf,0.25,navigation_fund_general,17.9105,-0.1475,7.6500,7.6500,33.0000,42.0000,41.6000,23.0000
leaf,0.25,sentinel_bio,8.5930,0.0000,7.9000,7.9000,19.0000,6.0000,0.1000,0.0000
leaf,0.5,ea_awf,12.8075,0.0325,10.5500,10.5500,17.0000,17.0000,17.0000,17.0000
leaf,0.5,givewell,18.2180,5.2650,21.4000,21.4000,0.0000,12.0000,25.1000,55.0000
leaf,0.5,leaf,0.0080,-4.9300,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000
leaf,0.5,longview_ai,23.2175,0.0000,34.9500,34.9500,0.0000,5.0000,0.0000,0.0000
leaf,0.5,longview_nuclear,3.8230,0.0000,2.1000,2.1000,15.0000,2.0000,0.1000,0.0000
leaf,0.5,navigation_fund_cagefree,15.6425,0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
leaf,0.5,navigation_fund_general,17.6905,-0.3675,7.6500,7.6500,33.0000,42.0000,41.6000,12.0000
leaf,0.5,sentinel_bio,8.5930,0.0000,7.9000,7.9000,19.0000,6.0000,0.1000,0.0000
leaf,1.5,ea_awf,12.4500,-0.3250,10.0000,10.0000,17.0000,17.0000,17.0000,17.0000
leaf,1.5,givewell,3.3855,-9.5675,4.1500,4.1500,0.0000,0.0000,7.1000,6.0000
leaf,1.5,leaf,16.2130,11.2750,18.3000,18.3000,7.0000,14.0000,18.6000,19.0000
leaf,1.5,longview_ai,23.0175,-0.2000,34.9500,34.9500,0.0000,3.0000,0.0000,0.0000
leaf,1.5,longview_nuclear,3.8230,0.0000,2.1000,2.1000,15.0000,2.0000,0.1000,0.0000
leaf,1.5,navigation_fund_cagefree,15.6425,0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
leaf,1.5,navigation_fund_general,16.8755,-1.1825,7.1500,7.1500,26.0000,42.0000,41.1000,42.0000
leaf,1.5,sentinel_bio,8.5930,0.0000,7.9000,7.9000,19.0000,6.0000,0.1000,0.0000
leaf,2,ea_awf,11.9300,-0.8450,9.2000,9.2000,17.0000,17.0000,17.0000,17.0000
leaf,2,givewell,0.2680,-12.6850,0.4000,0.4000,0.0000,0.0000,0.1000,0.0000
leaf,2,leaf,21.2430,16.3050,23.5000,23.5000,11.0000,17.0000,26.1000,26.5000
leaf,2,longview_ai,22.7175,-0.5000,34.9500,34.9500,0.0000,0.0000,0.0000,0.0000
leaf,2,longview_nuclear,3.8230,0.0000,2.1000,2.1000,15.0000,2.0000,0.1000,0.0000
leaf,2,navigation_fund_cagefree,15.6425,0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
leaf,2,navigation_fund_general,15.7830,-2.2750,6.5000,6.5000,22.0000,42.0000,40.6000,40.5000
leaf,2,sentinel_bio,8.5930,0.0000,7.9000,7.9000,19.0000,6.0000,0.1000,0.0000
longview_ai,0.1,ea_awf,12.9475,0.1725,12.1500,12.1500,17.0000,8.0000,17.0000,17.0000
longview_ai,0.1,givewell,16.4455,3.4925,16.5500,16.5500,0.0000,37.0000,20.1000,19.0000
longview_ai,0.1,leaf,6.0905,1.1525,7.0500,7.0500,1.0000,8.0000,5.6000,5.5000
longview_ai,0.1,longview_ai,12.8375,-10.3800,19.7500,19.7500,0.0000,0.0000,0.0000,0.0000
longview_ai,0.1,longview_nuclear,7.7680,3.9450,7.4000,7.4000,15.0000,7.0000,0.1000,0.0000
longview_ai,0.1,navigation_fund_cagefree,15.6750,0.0325,15.5000,15.5000,16.0000,16.0000,16.0000,16.0000
longview_ai,0.1,navigation_fund_general,15.1055,-2.9525,8.7500,8.7500,32.0000,5.0000,41.1000,41.5000
longview_ai,0.1,sentinel_bio,13.1305,4.5375,12.8500,12.8500,19.0000,19.0000,0.1000,1.0000
longview_ai,10,ea_awf,12.7506,-0.0244,10.5000,10.5000,17.0000,17.0000,16.6944,17.0000
longview_ai,10,givewell,10.3597,-2.5933,15.3500,15.3500,0.0000,0.0000,0.0278,19.0000
longview_ai,10,leaf,4.2697,-0.6683,6.1500,6.1500,1.0000,0.0000,0.0278,6.0000
longview_ai,10,longview_ai,29.5500,6.3325,35.0000,35.0000,0.0000,44.0000,30.0000,0.0000
longview_ai,10,longview_nuclear,3.6172,-0.2058,2.1000,2.1000,15.0000,0.0000,0.0278,0.0000
longview_ai,10,navigation_fund_cagefree,15.6425,-0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
longview_ai,10,navigation_fund_general,15.8231,-2.2349,7.5500,7.5500,32.0000,23.0000,37.1944,42.0000
longview_ai,10,sentinel_bio,7.9872,-0.6058,7.9000,7.9000,19.0000,0.0000,0.0278,0.0000
longview_nuclear,0.1,ea_awf,12.7750,0.0000,10.5000,10.5000,17.0000,17.0000,17.0000,17.0000
longview_nuclear,0.1,givewell,13.5655,0.6125,15.3500,15.3500,0.0000,16.0000,20.1000,19.0000
longview_nuclear,0.1,leaf,4.9155,-0.0225,6.1500,6.1500,1.0000,2.0000,5.6000,6.0000
longview_nuclear,0.1,longview_ai,23.2175,0.0000,34.9500,34.9500,0.0000,5.0000,0.0000,0.0000
longview_nuclear,0.1,longview_nuclear,2.2580,-1.5650,0.0000,0.0000,15.0000,0.0000,0.1000,0.0000
