combo,max_spend_multiplier,scenario,project_id,base_alloc,new_alloc,alloc_delta,rank_delta
aw_low_power,7.5,aw_low_power_spend_7_5x,ea_awf,12.78,18.19,5.41,3
aw_low_power,7.5,aw_low_power_spend_7_5x,givewell,12.95,11.48,-1.47,-1
aw_low_power,7.5,aw_low_power_spend_7_5x,leaf,4.94,4.65,-0.29,-1
aw_low_power,7.5,aw_low_power_spend_7_5x,longview_ai,23.22,22.72,-0.50,0
aw_low_power,7.5,aw_low_power_spend_7_5x,longview_nuclear,3.82,5.48,1.66,1
aw_low_power,7.5,aw_low_power_spend_7_5x,navigation_fund_cagefree,15.64,16.96,1.32,0
aw_low_power,7.5,aw_low_power_spend_7_5x,navigation_fund_general,18.06,8.72,-9.34,-4
aw_low_power,7.5,aw_low_power_spend_7_5x,sentinel_bio,8.59,11.80,3.21,2
aw_low_power,10,aw_low_power_spend_10x,ea_awf,12.78,18.44,5.66,3
aw_low_power,10,aw_low_power_spend_10x,givewell,12.95,10.13,-2.82,-1
aw_low_power,10,aw_low_power_spend_10x,leaf,4.94,4.57,-0.37,-1
aw_low_power,10,aw_low_power_spend_10x,longview_ai,23.22,22.72,-0.50,0
aw_low_power,10,aw_low_power_spend_10x,longview_nuclear,3.82,6.62,2.80,1
aw_low_power,10,aw_low_power_spend_10x,navigation_fund_cagefree,15.64,17.16,1.51,0
aw_low_power,10,aw_low_power_spend_10x,navigation_fund_general,18.06,7.21,-10.85,-4
aw_low_power,10,aw_low_power_spend_10x,sentinel_bio,8.59,13.16,4.57,2
aw_high_power,2.5,aw_high_power_spend_2_5x,ea_awf,12.78,8.45,-4.33,1
aw_high_power,2.5,aw_high_power_spend_2_5x,givewell,12.95,26.24,13.29,3
aw_high_power,2.5,aw_high_power_spend_2_5x,leaf,4.94,6.15,1.21,0
aw_high_power,2.5,aw_high_power_spend_2_5x,longview_ai,23.22,23.77,0.55,-1
aw_high_power,2.5,aw_high_power_spend_2_5x,longview_nuclear,3.82,2.59,-1.23,0
aw_high_power,2.5,aw_high_power_spend_2_5x,navigation_fund_cagefree,15.64,7.87,-7.77,-2
aw_high_power,2.5,aw_high_power_spend_2_5x,navigation_fund_general,18.06,18.08,0.02,-1
aw_high_power,2.5,aw_high_power_spend_2_5x,sentinel_bio,8.59,6.86,-1.73,0
aw_high_power,7.5,aw_high_power_spend_7_5x,ea_awf,12.78,9.03,-3.75,-1
aw_high_power,7.5,aw_high_power_spend_7_5x,givewell,12.95,9.85,-3.10,-1
aw_high_power,7.5,aw_high_power_spend_7_5x,leaf,4.94,3.37,-1.56,-1
aw_high_power,7.5,aw_high_power_spend_7_5x,longview_ai,23.22,22.69,-0.53,-1
aw_high_power,7.5,aw_high_power_spend_7_5x,longview_nuclear,3.82,4.77,0.95,1
aw_high_power,7.5,aw_high_power_spend_7_5x,navigation_fund_cagefree,15.64,23.64,8.00,2
aw_high_power,7.5,aw_high_power_spend_7_5x,navigation_fund_general,18.06,16.75,-1.30,-1
aw_high_power,7.5,aw_high_power_spend_7_5x,sentinel_bio,8.59,9.89,1.30,2
aw_high_power,10,aw_high_power_spend_10x,ea_awf,12.78,6.99,-5.79,-1
aw_high_power,10,aw_high_power_spend_10x,givewell,12.95,9.85,-3.11,-1
aw_high_power,10,aw_high_power_spend_10x,leaf,4.94,3.17,-1.77,-1
aw_high_power,10,aw_high_power_spend_10x,longview_ai,23.22,22.69,-0.53,-1
aw_high_power,10,aw_high_power_spend_10x,longview_nuclear,3.82,5.82,1.99,1
aw_high_power,10,aw_high_power_spend_10x,navigation_fund_cagefree,15.64,28.48,12.84,2
aw_high_power,10,aw_high_power_spend_10x,navigation_fund_general,18.06,11.77,-6.29,-1
aw_high_power,10,aw_high_power_spend_10x,sentinel_bio,8.59,11.23,2.64,2
gcr_and_aw_low_power,2.5,gcr_and_aw_low_power_spend_2_5x,ea_awf,12.78,8.87,-3.90,1
gcr_and_aw_low_power,2.5,gcr_and_aw_low_power_spend_2_5x,givewell,12.95,26.22,13.26,3
gcr_and_aw_low_power,2.5,gcr_and_aw_low_power_spend_2_5x,leaf,4.94,6.19,1.25,0
gcr_and_aw_low_power,2.5,gcr_and_aw_low_power_spend_2_5x,longview_ai,23.22,23.54,0.32,-1
gcr_and_aw_low_power,2.5,gcr_and_aw_low_power_spend_2_5x,longview_nuclear,3.82,3.14,-0.68,0
gcr_and_aw_low_power,2.5,gcr_and_aw_low_power_spend_2_5x,navigation_fund_cagefree,15.64,7.94,-7.71,-2
gcr_and_aw_low_power,2.5,gcr_and_aw_low_power_spend_2_5x,navigation_fund_general,18.06,17.71,-0.35,-1
gcr_and_aw_low_power,2.5,gcr_and_aw_low_power_spend_2_5x,sentinel_bio,8.59,6.40,-2.19,0
gcr_and_aw_low_power,7.5,gcr_and_aw_low_power_spend_7_5x,ea_awf,12.78,18.19,5.41,3
gcr_and_aw_low_power,7.5,gcr_and_aw_low_power_spend_7_5x,givewell,12.95,11.48,-1.47,0
gcr_and_aw_low_power,7.5,gcr_and_aw_low_power_spend_7_5x,leaf,4.94,4.65,-0.29,-1
