scenario,ea_awf,givewell,leaf,longview_ai,longview_nuclear,navigation_fund_cagefree,navigation_fund_general,sentinel_bio
baseline_5x,12.78,12.99,4.91,23.22,3.82,15.64,18.06,8.59
max_spend_2_5x,8.71,26.33,6.11,23.80,2.57,7.87,17.78,6.83
max_spend_7_5x,12.25,10.24,4.28,22.72,5.07,22.15,12.71,10.58
max_spend_10x,11.70,9.94,3.81,22.72,6.62,22.95,9.13,13.13
