worldview_idx,worldview_name,risk_profile,multiplier,sensitivity_index,si_scaled_pp_per_oom,diff_ea_awf,diff_givewell,diff_leaf,diff_longview_ai,diff_longview_nuclear,diff_navigation_fund_cagefree,diff_navigation_fund_general,diff_sentinel_bio,ghd,gcr,aw,ca_sensitivity_index,ca_si_scaled_pp_per_oom,diff_ghd,diff_gcr,diff_aw,eff_mult_chickens_birds,eff_mult_fish,eff_mult_shrimp,eff_mult_non_shrimp_invertebrates,eff_mult_mammals
3,Total Utilitarian,6,0.1,51.0000,51.0000,-12.0000,50.0000,1.0000,0.0000,0.0000,0.0000,-39.0000,0.0000,76.0000,0.0000,24.0000,51.0000,51.0000,51.0000,0.0000,-51.0000,0.100000,0.100000,0.100000,0.100000,0.100000
3,Total Utilitarian,6,100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.875000,2.500000,3.125000,2.857143,2.045455
3,Total Utilitarian,6,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.875000,2.500000,3.125000,2.857143,2.045455
3,Total Utilitarian,6,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.875000,2.500000,3.125000,2.857143,2.045455
3,Total Utilitarian,6,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.875000,2.000000,2.000000,2.000000,2.000000
4,Total Utilitarian,0,1.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,75.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000000,1.000000,1.000000,1.000000,1.000000
4,Total Utilitarian,0,0.1,21.0000,21.0000,0.0000,4.0000,2.0000,15.0000,0.0000,0.0000,-21.0000,0.0000,6.0000,40.0000,54.0000,21.0000,21.0000,6.0000,15.0000,-21.0000,0.100000,0.100000,0.100000,0.100000,0.100000
4,Total Utilitarian,0,100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,75.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000000,1.000000,1.000000,1.000000,1.000000
4,Total Utilitarian,0,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,75.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000000,1.000000,1.000000,1.000000,1.000000
4,Total Utilitarian,0,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,75.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000000,1.000000,1.000000,1.000000,1.000000
4,Total Utilitarian,0,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,75.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000000,1.000000,1.000000,1.000000,1.000000
5,Consequentialism (Non-Utilitarian),0,1.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000000,1.000000,1.000000,1.000000,1.000000
5,Consequentialism (Non-Utilitarian),0,0.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.100000,0.100000,0.100000,0.100000,0.100000
5,Consequentialism (Non-Utilitarian),0,100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.500000,10.000000,12.500000,10.000000,8.181818
5,Consequentialism (Non-Utilitarian),0,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.500000,10.000000,10.000000,10.000000,8.181818
