fund_varied,multiplier,method,ea_awf,givewell,leaf,longview_ai,longview_nuclear,navigation_fund_cagefree,navigation_fund_general,sentinel_bio
all_aw,4,mec,17.00,0.00,0.00,0.00,15.00,16.00,33.00,19.00
all_aw,4,met,17.00,17.00,2.00,6.00,0.00,16.00,42.00,0.00
all_aw,4,splitCycle,17.00,12.25,6.25,6.00,0.25,16.00,42.00,0.25
all_aw,4,borda,17.00,19.10,5.60,0.10,0.10,16.00,42.00,0.10
all_aw,4,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
all_ghd,0.5,nashBargaining,11.30,15.15,4.85,34.95,2.80,15.60,8.15,7.20
all_ghd,0.5,credenceWeighted,11.30,15.15,4.85,34.95,2.80,15.60,8.15,7.20
all_ghd,0.5,mec,17.00,0.00,0.00,0.00,15.00,16.00,33.00,19.00
all_ghd,0.5,met,17.00,14.00,5.00,0.00,2.00,16.00,42.00,4.00
all_ghd,0.5,splitCycle,17.00,17.10,5.60,0.00,1.10,16.00,41.60,1.60
all_ghd,0.5,borda,17.00,19.00,6.00,0.00,0.00,16.00,42.00,0.00
all_ghd,0.5,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
all_ghd,1.5,nashBargaining,9.60,16.50,6.65,34.95,2.80,15.40,6.90,7.20
all_ghd,1.5,credenceWeighted,9.60,16.50,6.65,34.95,2.80,15.40,6.90,7.20
all_ghd,1.5,mec,17.00,4.00,5.00,0.00,15.00,16.00,24.00,19.00
all_ghd,1.5,met,17.00,17.00,2.00,0.00,2.00,16.00,42.00,4.00
all_ghd,1.5,splitCycle,17.00,30.60,6.10,0.00,0.10,16.00,30.10,0.10
all_ghd,1.5,borda,16.83,32.00,5.83,0.00,0.00,16.00,29.33,0.00
all_ghd,1.5,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
all_ghd,2,nashBargaining,9.10,17.35,6.65,34.95,2.80,15.45,6.50,7.20
all_ghd,2,credenceWeighted,9.10,17.35,6.65,34.95,2.80,15.45,6.50,7.20
all_ghd,2,mec,17.00,10.00,5.00,0.00,15.00,16.00,18.00,19.00
all_ghd,2,met,17.00,17.00,2.00,0.00,2.00,16.00,42.00,4.00
all_ghd,2,splitCycle,17.00,38.10,6.10,0.00,0.10,16.00,22.60,0.10
all_ghd,2,borda,17.00,39.00,6.50,0.00,0.00,16.00,21.50,0.00
all_ghd,2,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
