fund_varied,multiplier,recipient_fund,weighted_allocation_pct,allocation_diff_pp,nashBargaining,credenceWeighted,mec,met,splitCycle,borda
givewell,2,ea_awf,11.8850,-0.8900,9.3000,9.3000,17.0000,17.0000,17.0000,11.5000
givewell,2,givewell,24.4655,11.2125,23.7500,23.7500,15.0000,20.0000,43.6000,64.5000
givewell,2,leaf,0.0080,-4.9300,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000
givewell,2,longview_ai,22.7175,-0.5000,34.9500,34.9500,0.0000,0.0000,0.0000,0.0000
givewell,2,longview_nuclear,4.7980,0.0000,3.6000,3.6000,15.0000,2.0000,0.1000,0.0000
givewell,2,navigation_fund_cagefree,15.6100,-0.0325,15.4000,15.4000,16.0000,16.0000,16.0000,16.0000
givewell,2,navigation_fund_general,13.1980,-4.8600,6.6000,6.6000,18.0000,42.0000,23.1000,8.0000
givewell,2,sentinel_bio,7.3180,0.0000,6.4000,6.4000,19.0000,3.0000,0.1000,0.0000
leaf,0.5,ea_awf,12.8400,0.0650,10.6000,10.6000,17.0000,17.0000,17.0000,17.0000
leaf,0.5,givewell,18.3855,5.1325,21.3500,21.3500,0.0000,14.0000,25.1000,55.0000
leaf,0.5,leaf,0.0080,-4.9300,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000
leaf,0.5,longview_ai,23.3175,0.1000,34.9500,34.9500,0.0000,6.0000,0.0000,0.0000
leaf,0.5,longview_nuclear,4.7980,0.0000,3.6000,3.6000,15.0000,2.0000,0.1000,0.0000
leaf,0.5,navigation_fund_cagefree,15.6425,0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
leaf,0.5,navigation_fund_general,17.6905,-0.3675,7.6500,7.6500,33.0000,42.0000,41.6000,12.0000
leaf,0.5,sentinel_bio,7.3180,0.0000,6.4000,6.4000,19.0000,3.0000,0.1000,0.0000
leaf,1.5,ea_awf,12.4500,-0.3250,10.0000,10.0000,17.0000,17.0000,17.0000,17.0000
leaf,1.5,givewell,3.3530,-9.9000,4.1000,4.1000,0.0000,0.0000,7.1000,6.0000
leaf,1.5,leaf,16.4455,11.5075,18.3500,18.3500,7.0000,16.0000,18.6000,19.0000
leaf,1.5,longview_ai,23.1175,-0.1000,34.9500,34.9500,0.0000,4.0000,0.0000,0.0000
leaf,1.5,longview_nuclear,4.7980,0.0000,3.6000,3.6000,15.0000,2.0000,0.1000,0.0000
leaf,1.5,navigation_fund_cagefree,15.6425,0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
leaf,1.5,navigation_fund_general,16.8755,-1.1825,7.1500,7.1500,26.0000,42.0000,41.1000,42.0000
leaf,1.5,sentinel_bio,7.3180,0.0000,6.4000,6.4000,19.0000,3.0000,0.1000,0.0000
leaf,2,ea_awf,11.9300,-0.8450,9.2000,9.2000,17.0000,17.0000,17.0000,17.0000
leaf,2,givewell,0.2680,-12.9850,0.4000,0.4000,0.0000,0.0000,0.1000,0.0000
leaf,2,leaf,21.5430,16.6050,23.5000,23.5000,11.0000,20.0000,26.1000,26.5000
leaf,2,longview_ai,22.7175,-0.5000,34.9500,34.9500,0.0000,0.0000,0.0000,0.0000
leaf,2,longview_nuclear,4.7980,0.0000,3.6000,3.6000,15.0000,2.0000,0.1000,0.0000
leaf,2,navigation_fund_cagefree,15.6425,0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
leaf,2,navigation_fund_general,15.7830,-2.2750,6.5000,6.5000,22.0000,42.0000,40.6000,40.5000
leaf,2,sentinel_bio,7.3180,0.0000,6.4000,6.4000,19.0000,3.0000,0.1000,0.0000
longview_ai,0.1,ea_awf,12.9475,0.1725,12.1500,12.1500,17.0000,8.0000,17.0000,17.0000
longview_ai,0.1,givewell,16.0130,2.7600,16.5000,16.5000,0.0000,33.0000,20.1000,19.0000
longview_ai,0.1,leaf,6.1230,1.1850,7.1000,7.1000,1.0000,8.0000,5.6000,5.5000
longview_ai,0.1,longview_ai,12.8375,-10.3800,19.7500,19.7500,0.0000,0.0000,0.0000,0.0000
longview_ai,0.1,longview_nuclear,8.2330,3.4350,7.5000,7.5000,15.0000,11.0000,0.1000,0.0000
longview_ai,0.1,navigation_fund_cagefree,15.6750,0.0325,15.5000,15.5000,16.0000,16.0000,16.0000,16.0000
longview_ai,0.1,navigation_fund_general,15.1055,-2.9525,8.7500,8.7500,32.0000,5.0000,41.1000,41.5000
longview_ai,0.1,sentinel_bio,13.0655,5.7475,12.7500,12.7500,19.0000,19.0000,0.1000,1.0000
longview_ai,2,ea_awf,12.7750,0.0000,10.5000,10.5000,17.0000,17.0000,17.0000,17.0000
longview_ai,2,givewell,13.5330,0.2800,15.3000,15.3000,0.0000,16.0000,20.1000,19.0000
longview_ai,2,leaf,5.2480,0.3100,6.2000,6.2000,1.0000,5.0000,5.6000,6.0000
longview_ai,2,longview_ai,22.7500,-0.4675,35.0000,35.0000,0.0000,0.0000,0.0000,0.0000
longview_ai,2,longview_nuclear,4.6980,-0.1000,3.6000,3.6000,15.0000,1.0000,0.1000,0.0000
longview_ai,2,navigation_fund_cagefree,15.6425,-0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
longview_ai,2,navigation_fund_general,18.0355,-0.0225,7.5500,7.5500,32.0000,42.0000,41.1000,42.0000
longview_ai,2,sentinel_bio,7.3180,0.0000,6.4000,6.4000,19.0000,3.0000,0.1000,0.0000
longview_ai,4,ea_awf,12.7750,0.0000,10.5000,10.5000,17.0000,17.0000,17.0000,17.0000
longview_ai,4,givewell,10.5330,-2.7200,15.3000,15.3000,0.0000,0.0000,2.6000,19.0000
longview_ai,4,leaf,4.7080,-0.2300,6.2000,6.2000,1.0000,0.0000,5.1000,6.0000
longview_ai,4,longview_ai,26.4900,3.2725,35.0000,35.0000,0.0000,23.0000,18.0000,0.0000
longview_ai,4,longview_nuclear,4.6980,-0.1000,3.6000,3.6000,15.0000,1.0000,0.1000,0.0000
longview_ai,4,navigation_fund_cagefree,15.6425,-0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
