method,ea_awf,givewell,leaf,longview_ai,longview_nuclear,navigation_fund_cagefree,navigation_fund_general,sentinel_bio
nashBargaining,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
marketplace,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
MEC,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
MET,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
