worldview_idx,worldview_name,risk_profile,multiplier,sensitivity_index,diff_ghd,diff_gcr,diff_aw
9,Contractualism,5,sentience_only,0.0000,0.0000,0.0000,0.0000
9,Contractualism,5,low_animals,66.0000,66.0000,0.0000,-66.0000
9,Contractualism,5,moderate_high,0.0000,0.0000,0.0000,0.0000
9,Contractualism,5,moderate,16.0000,16.0000,0.0000,-16.0000
10,Contractualism,0,baseline,0.0000,0.0000,0.0000,0.0000
10,Contractualism,0,0.1,0.0000,0.0000,0.0000,0.0000
10,Contractualism,0,0.2,0.0000,0.0000,0.0000,0.0000
10,Contractualism,0,0.5,0.0000,0.0000,0.0000,0.0000
10,Contractualism,0,sentience_only,0.0000,0.0000,0.0000,0.0000
10,Contractualism,0,low_animals,0.0000,0.0000,0.0000,0.0000
10,Contractualism,0,moderate_high,0.0000,0.0000,0.0000,0.0000
10,Contractualism,0,moderate,0.0000,0.0000,0.0000,0.0000
11,Contractualism,2,baseline,0.0000,0.0000,0.0000,0.0000
11,Contractualism,2,0.1,0.0000,0.0000,0.0000,0.0000
11,Contractualism,2,0.2,0.0000,0.0000,0.0000,0.0000
11,Contractualism,2,0.5,0.0000,0.0000,0.0000,0.0000
11,Contractualism,2,sentience_only,75.0000,-75.0000,0.0000,75.0000
11,Contractualism,2,low_animals,0.0000,0.0000,0.0000,0.0000
11,Contractualism,2,moderate_high,75.0000,-75.0000,0.0000,75.0000
11,Contractualism,2,moderate,49.0000,-49.0000,0.0000,49.0000
12,Kantianism,3,baseline,0.0000,0.0000,0.0000,0.0000
12,Kantianism,3,0.1,0.0000,0.0000,0.0000,0.0000
12,Kantianism,3,0.2,0.0000,0.0000,0.0000,0.0000
12,Kantianism,3,0.5,0.0000,0.0000,0.0000,0.0000
12,Kantianism,3,sentience_only,75.0000,-75.0000,0.0000,75.0000
12,Kantianism,3,low_animals,0.0000,0.0000,0.0000,0.0000
12,Kantianism,3,moderate_high,68.0000,-68.0000,0.0000,68.0000
12,Kantianism,3,moderate,33.0000,-33.0000,0.0000,33.0000
13,Custom,6,baseline,0.0000,0.0000,0.0000,0.0000
13,Custom,6,0.1,0.0000,0.0000,0.0000,0.0000
13,Custom,6,0.2,0.0000,0.0000,0.0000,0.0000
13,Custom,6,0.5,0.0000,0.0000,0.0000,0.0000
13,Custom,6,sentience_only,75.0000,-75.0000,0.0000,75.0000
13,Custom,6,low_animals,0.0000,0.0000,0.0000,0.0000
13,Custom,6,moderate_high,68.0000,-68.0000,0.0000,68.0000
13,Custom,6,moderate,33.0000,-33.0000,0.0000,33.0000
