fund,display_name,n_samples,mean,p0.001,p0.01,p0.1,p1,p5,p10,p25,p50,p75,p90,p95,p99,p99.9,p99.99,p99.999
sentinel_bio,Sentinel Bio,1000000,1.4071554000854976e+26,52317646829044.51,69932933904365.85,92211124483369.67,129723702883141.0,204344574276185.47,333136117999774.9,1453238088025449.2,1.7373098339217964e+16,2.0793393914323702e+17,9.237563098646735e+17,1.677521383879034e+18,1.1783974534350658e+27,2.6678965724650015e+28,1.2778976135926936e+29,3.043052422761751e+29
longview_nuclear,Longview Philanthropy Nuclear Weapons Policy Fund,1000000,1.4071544231852395e+26,52317598876793.56,69932938613946.69,92211121395136.98,129724268085203.42,204338398626956.66,333135819639790.7,1453226935040857.8,1.7373399092201984e+16,2.079325406384248e+17,9.237205948334508e+17,1.6775213130244513e+18,1.178397884479812e+27,2.6678966557308707e+28,1.2778927902473654e+29,3.043041985253576e+29
longview_ai,Longview Philanthropy AI Program,1000000,1.407682585705742e+26,52319867808362.6,69935261561628.555,92289876673936.19,129784182260458.66,204413998234393.78,333263606857928.8,1454030195937124.0,1.73799548195084e+16,2.0800657424971494e+17,9.241531893301851e+17,1.677945426175268e+18,1.1793791603911535e+27,2.6679033059899143e+28,1.2779749800575357e+29,3.0430811182101337e+29
