intervention_type,unit,p1,p5,p10,p25,p50,p75,p90,p95,p99,mean
Malaria prevention and treatment,YLLs per $1M,9123.8113561493,10521.619815952463,11267.666697107865,12616.838710314805,14211.182257969547,16036.984147504612,17837.931229466587,19050.460136264323,21500.07299334103,14425.813582661385
Vaccinations,YLLs per $1M,10784.278464160345,12436.477866542391,13318.29983760667,14913.011314918076,16797.513757404202,18955.598271488943,21084.304584339752,22517.504906695995,25412.929433672627,17051.20641744023
Malnutrition treatment,YLLs per $1M,13239.94817453111,15268.36709325872,16350.987245812701,18308.82776181025,20622.447050871917,23271.94531982864,25885.375727306186,27644.927657904016,31199.664380238977,20933.90763511949
Water quality,YLLs per $1M,11647.791422229378,13432.28484854749,14384.715595271131,16107.117954231802,18142.515265021597,20473.40076423607,22772.55570665248,24320.514476129345,27447.779882072922,18416.521467594208
VAS,YLLs per $1M,9649.275630836337,11127.58755348092,11916.601235240398,13343.475610505713,15029.641593233679,16960.596212056615,18865.264569616316,20147.626202856623,22738.318702306722,15256.63409999646
Iron fortification,YLLs per $1M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Livelihood programs,YLLs per $1M,1630.690799112113,1880.5198787966485,2013.860183337958,2254.996513592452,2539.9521371030232,2866.27610699305,3188.1577989313478,3404.8720266581076,3842.689183490209,2578.313005463189
Family planning,YLLs per $1M,3492.5858790865236,4027.6655621058185,4313.25156345423,4829.713263268904,5440.026381722265,6138.941522388979,6828.342267528579,7292.497122616828,8230.206478925324,5522.187038553811
Portfolio (weighted average),YLLs per $1M,8960.091989032248,10332.817913976165,11065.477591203891,12390.439810990956,13956.174161633613,15749.213522641132,17517.844075363224,18708.61513804484,21114.27168662421,14166.954101934612
