intervention_type,unit,p1,p5,p10,p25,p50,p75,p90,p95,p99,mean
Malaria prevention and treatment,income doublings per $1M,12999.14541291786,14990.67227807401,16053.602178137831,17975.834291682764,20247.374419498206,22848.68469771327,25414.58310196023,27142.13302178698,30632.217646676963,20553.170286042063
Vaccinations,income doublings per $1M,11230.82968177327,12951.442715843796,13869.778828879207,15530.523500186979,17493.05868849689,19740.50432865778,21957.355286428774,23449.901011554277,26465.218153722984,17757.25615574974
Malnutrition treatment,income doublings per $1M,7056.389682868964,8137.459951571328,8714.455387976688,9757.910047743682,10990.981285350661,12403.063266593575,13795.92244709212,14733.696819459134,16628.236526272467,11156.97795122377
Water quality,income doublings per $1M,10373.669002936009,11962.96121048793,12811.207968742392,14345.201093622229,16157.951444843584,18233.86727953546,20281.523482716966,21660.154960792624,24445.336720115523,16401.984802516436
VAS,income doublings per $1M,11419.809988918494,13169.375646158474,14103.164530326692,15791.85442446897,17787.413041428328,20072.67627649577,22326.830014806183,23844.490692037158,26910.546343809667,18056.05613913976
Iron fortification,income doublings per $1M,14173.523035891747,16344.969773600946,17503.9276085615,19599.819321149433,22076.576469857857,24912.89608784936,27710.604628305548,29594.226036216336,33399.61425650136,22409.998754251472
Livelihood programs,income doublings per $1M,27537.130469732536,31755.94127442469,34007.63078234805,38079.64896680461,42891.63428429526,48402.198113535895,53837.74613499363,57497.35344179173,64890.67912691693,43539.42615111714
Family planning,income doublings per $1M,13515.466609225346,15586.096176969473,16691.245255306858,18689.827709810354,21051.59256232874,23756.22591234207,26424.040841991362,28220.208398820578,31848.91788030666,21369.534526375515
Portfolio (weighted average),income doublings per $1M,12349.467423514056,14241.460732540234,15251.26697420845,17077.428780435006,19235.4407049562,21706.741357331804,24144.399968628295,25785.609508156478,29101.26488482108,19525.953348070096
