effect_type,0-5 years,5-10 years,10-20 years,20-100 years,100-500 years,500+ years
YLDs_averted,80.0,10.0,5.0,5.0,0,0
YLLs (lives_saved),80.0,10.0,5.0,5.0,0,0
income_doublings,80.0,10.0,5.0,5.0,0,0
