intervention_type,unit,p1,p5,p10,p25,p50,p75,p90,p95,p99,mean
Malaria prevention and treatment,YLDs per $1M,1377.7368665323345,1588.812279235123,1701.4687395899844,1905.1998284222898,2145.952930144568,2421.6572905269722,2693.6084623166576,2876.7058227750663,3246.6084665481144,2178.3632329443203
Vaccinations,YLDs per $1M,754.1605424894782,869.7012902309407,931.3684048447838,1042.888936963852,1174.6749798661428,1325.5930216516122,1474.4566023756781,1574.6824205605794,1777.1637399422052,1192.416082783153
Malnutrition treatment,YLDs per $1M,513.5334433294112,592.2090497681504,634.2002756725182,710.1383812010665,799.875959052821,902.6411626032378,1004.0074140690417,1072.2545665295775,1210.1309513225133,811.9564766033143
Water quality,YLDs per $1M,404.95780102547855,466.9991363885985,500.11221738747145,559.9948377471267,630.7593277102244,711.7970310814103,791.73156080873,845.5493153204668,954.2746930428962,640.2856786928993
VAS,YLDs per $1M,1624.2329193304522,1873.0726231238355,2005.8848719127932,2246.066251398802,2529.8933904899222,2854.9250485765265,3175.5320210697973,3391.3880147092636,3827.4713231829205,2568.1023417139113
Iron fortification,YLDs per $1M,8509.982775173099,9813.74996758649,10509.604568287443,11768.007459903387,13255.087321446747,14958.053551710796,16637.83714742983,17768.789959632995,20053.598621915935,13455.278755140635
Livelihood programs,YLDs per $1M,1333.7197142469563,1538.05150354071,1647.1087159609112,1844.330824319341,2077.3921336543262,2344.288048018123,2607.550683967882,2784.798288501102,3142.8829564347557,2108.766963521179
Family planning,YLDs per $1M,5871.888114869438,6771.487477634678,7251.627152118336,8119.925147333338,9146.010251798256,10321.05695068045,11480.107631726583,12260.465072146768,13836.983049121995,9284.14234104704
Portfolio (weighted average),YLDs per $1M,1797.1815387505874,2072.5177398848327,2219.4718613059517,2485.227798171115,2799.2769031364473,3158.917991844054,3513.663253624084,3752.503633092214,4235.02117230648,2841.554350501005
