effect_type,unit,p1,p5,p10,p25,p50,p75,p90,p95,p99,mean
YLLs,YLLs per $1M,8991.182076488483,10360.823902158161,11068.2955048474,12388.471444596118,13955.775365505175,15751.453807513253,17590.017154626938,18857.392925202468,21288.09298171366,14193.652192851674
YLDs_averted,YLDs per $1M,1803.4174715158852,2078.13507562165,2220.037067822147,2484.832990645631,2799.1969141094787,3159.367339754617,3528.139458311078,3782.3449218628143,4269.88559367167,2846.909353125394
income_doublings,income doublings per $1M,12392.318102134874,14280.060675391298,15255.150833077914,17074.715830980876,19234.891054371943,21709.829085123165,24243.87429236436,25990.666156915737,29340.83836507639,19562.750649309182
