project_id,effect_id,recipient_type,near_term_xrisk,neutral_t0,neutral_t1,neutral_t2,neutral_t3,neutral_t4,neutral_t5,wlu - low_t0,wlu - low_t1,wlu - low_t2,wlu - low_t3,wlu - low_t4,wlu - low_t5,wlu - moderate_t0,wlu - moderate_t1,wlu - moderate_t2,wlu - moderate_t3,wlu - moderate_t4,wlu - moderate_t5,wlu - high_t0,wlu - high_t1,wlu - high_t2,wlu - high_t3,wlu - high_t4,wlu - high_t5,upside_t0,upside_t1,upside_t2,upside_t3,upside_t4,upside_t5,downside_t0,downside_t1,downside_t2,downside_t3,downside_t4,downside_t5,combined_t0,combined_t1,combined_t2,combined_t3,combined_t4,combined_t5,ambiguity_t0,ambiguity_t1,ambiguity_t2,ambiguity_t3,ambiguity_t4,ambiguity_t5,ambiguity bilateral_t0,ambiguity bilateral_t1,ambiguity bilateral_t2,ambiguity bilateral_t3,ambiguity bilateral_t4,ambiguity bilateral_t5
navigation_fund_general,movement_building,chickens_birds,False,23580.0,117900.0,94320.0,0.0,0.0,0.0,23530.0,117600.0,94100.0,0.0,0.0,0.0,23260.0,116200.0,93000.0,0.0,0.0,0.0,22830.0,114000.0,91230.0,0.0,0.0,0.0,23400.0,117000.0,93600.0,0.0,0.0,0.0,23580.0,117900.0,94320.0,0.0,0.0,0.0,22050.0,110300.0,88210.0,0.0,0.0,0.0,22050.0,110300.0,88210.0,0.0,0.0,0.0,22470.0,112300.0,89860.0,0.0,0.0,0.0
navigation_fund_general,policy_advocacy,chickens_birds,False,9527.0,47640.0,85740.0,0.0,0.0,0.0,9505.0,47530.0,85540.0,0.0,0.0,0.0,9400.0,46980.0,84550.0,0.0,0.0,0.0,9233.0,46100.0,82940.0,0.0,0.0,0.0,9454.0,47270.0,85090.0,0.0,0.0,0.0,9527.0,47640.0,85740.0,0.0,0.0,0.0,8911.0,44550.0,80190.0,0.0,0.0,0.0,8911.0,44550.0,80190.0,0.0,0.0,0.0,9077.0,45390.0,81690.0,0.0,0.0,0.0
navigation_fund_general,chicken_corporate_campaigns,chickens_birds,False,53350.0,66690.0,80030.0,0.0,0.0,0.0,53230.0,66540.0,79840.0,0.0,0.0,0.0,52620.0,65770.0,78920.0,0.0,0.0,0.0,51630.0,64520.0,77420.0,0.0,0.0,0.0,52940.0,66180.0,79410.0,0.0,0.0,0.0,53350.0,66690.0,80030.0,0.0,0.0,0.0,49900.0,62370.0,74850.0,0.0,0.0,0.0,49900.0,62370.0,74850.0,0.0,0.0,0.0,50830.0,63540.0,76250.0,0.0,0.0,0.0
navigation_fund_general,fish_welfare,fish,False,11420.0,14280.0,2855.0,0.0,0.0,0.0,11340.0,14180.0,2835.0,0.0,0.0,0.0,10950.0,13690.0,2741.0,0.0,0.0,0.0,10350.0,12930.0,2599.0,0.0,0.0,0.0,10990.0,13740.0,2749.0,0.0,0.0,0.0,11420.0,14280.0,2855.0,0.0,0.0,0.0,9474.0,11840.0,2368.0,0.0,0.0,0.0,9474.0,11840.0,2368.0,0.0,0.0,0.0,9682.0,12100.0,2420.0,0.0,0.0,0.0
navigation_fund_general,shrimp_welfare,shrimp,False,160200.0,200300.0,40060.0,0.0,0.0,0.0,146100.0,182600.0,36570.0,0.0,0.0,0.0,136200.0,170000.0,34380.0,0.0,0.0,0.0,118900.0,147800.0,30680.0,0.0,0.0,0.0,156300.0,195300.0,39070.0,0.0,0.0,0.0,155100.0,193800.0,38760.0,0.0,0.0,0.0,136300.0,170400.0,34070.0,0.0,0.0,0.0,141600.0,177000.0,35400.0,0.0,0.0,0.0,146100.0,182600.0,36520.0,0.0,0.0,0.0
navigation_fund_general,invertebrate_welfare,non_shrimp_invertebrates,False,0.0,0.0,70680.0,0.0,0.0,0.0,0.0,0.0,20740.0,0.0,0.0,0.0,0.0,0.0,7125.0,0.0,0.0,0.0,0.0,0.0,-7137.0,0.0,0.0,0.0,0.0,0.0,56880.0,0.0,0.0,0.0,0.0,0.0,19210.0,0.0,0.0,0.0,0.0,0.0,-25460.0,0.0,0.0,0.0,0.0,0.0,27160.0,0.0,0.0,0.0,0.0,0.0,40950.0,0.0,0.0,0.0
navigation_fund_general,wild_animal_welfare,non_shrimp_invertebrates,False,0.0,0.0,14290.0,0.0,0.0,0.0,0.0,0.0,1412.0,0.0,0.0,0.0,0.0,0.0,-1994.0,0.0,0.0,0.0,0.0,0.0,-5554.0,0.0,0.0,0.0,0.0,0.0,7978.0,0.0,0.0,0.0,0.0,0.0,-5892.0,0.0,0.0,0.0,0.0,0.0,-21240.0,0.0,0.0,0.0,0.0,0.0,-614.5,0.0,0.0,0.0,0.0,0.0,4623.0,0.0,0.0,0.0
navigation_fund_cagefree,chicken_corporate_campaigns,chickens_birds,False,609700.0,762200.0,914600.0,0.0,0.0,0.0,608300.0,760400.0,912500.0,0.0,0.0,0.0,601000.0,751200.0,901300.0,0.0,0.0,0.0,588900.0,736000.0,883100.0,0.0,0.0,0.0,605100.0,756300.0,907600.0,0.0,0.0,0.0,609700.0,762200.0,914600.0,0.0,0.0,0.0,570300.0,712800.0,855400.0,0.0,0.0,0.0,570300.0,712800.0,855400.0,0.0,0.0,0.0,580900.0,726200.0,871400.0,0.0,0.0,0.0
sentinel_bio,effect_human_lives_extinction,human_life_years,False,128.0,1248.0,5630.0,62670.0,380200.0,6.625e+19,50.9,535.1,2410.0,26320.0,157400.0,1.91e+19,36.79,359.1,1502.0,14080.0,73720.0,-1.391e+19,20.25,152.8,452.1,507.3,-15630.0,-2.254e+19,83.86,969.6,4461.0,48410.0,291200.0,-7.576e+18,63.25,619.7,2808.0,31330.0,190200.0,3.594e+19,-37.78,-167.8,-627.9,-8437.0,-53290.0,-3.872e+19,28.4,474.4,2257.0,23600.0,141000.0,-7.742e+18,45.92,646.0,3028.0,32150.0,192800.0,2632000000000000.0
sentinel_bio,effect_human_lives_sub_ext_100m_1b,human_life_years,False,894.7,2264.0,2409.0,1290.0,0.1734,0.0,369.8,975.7,964.8,461.3,0.05615,0.0,265.0,683.5,647.8,290.4,0.03681,0.0,138.0,324.6,273.6,100.2,0.01477,0.0,842.2,2177.0,2241.0,871.8,-0.02565,0.0,445.9,1126.0,1197.0,642.0,0.07086,0.0,141.9,523.4,261.2,-440.5,-0.1311,0.0,600.7,1686.0,1500.0,222.4,-0.02622,0.0,721.6,1975.0,1834.0,396.8,0.0,0.0
