worldview,ea_awf,givewell,leaf,longview_ai,longview_nuclear,navigation_fund_cagefree,navigation_fund_general,sentinel_bio
Total Utilitarianism — Default,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
"Total Utilitarianism — Person-Affecting/Cluelessness, Sentience-only discounts, Empirical disbelief in upside scenarios",17.00,17.00,2.00,6.00,0.00,16.00,42.00,0.00
Total Utilitarianism — Weighted Linear Utility,17.00,19.00,6.00,0.00,0.00,16.00,42.00,0.00
"Total Utilitarianism — High life value, risk averse, and skeptical of upside cases",17.00,20.00,5.00,0.00,0.00,16.00,42.00,0.00
"Total Utilitarianism — Suffering forward, clueless, and only sentience discount",17.00,0.00,0.00,25.00,0.00,16.00,42.00,0.00
Non-Utilitarian Consequentialism — Default,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
Non-Utilitarian Consequentialism — High Life Value / Cluelessness / Low animals,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
Non-Utilitarian Consequentialism — Person-Affecting/Cluelessness,3.00,0.00,0.00,88.00,0.00,9.00,0.00,0.00
Non-Utilitarian Consequentialism — Weighted Linear Utility,7.00,64.00,8.00,0.00,0.00,16.00,5.00,0.00
Contractualism — Person-Affecting/Cluelessness and Animals Baseline,17.00,0.00,0.00,0.00,15.00,16.00,33.00,19.00
Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
Contractualism — Default + cluelessness,0.00,93.00,7.00,0.00,0.00,0.00,0.00,0.00
Kantianism — Low animals,0.00,95.00,5.00,0.00,0.00,0.00,0.00,0.00
Kantianism — Low animals / downside critical,0.00,97.00,3.00,0.00,0.00,0.00,0.00,0.00
