project_id,$0M,$2M,$4M,$6M,$8M,$10M,$12M,$14M,$16M,$18M,$20M,$22M,$24M,$26M,$28M,$30M,$32M,$34M,$36M,$38M,$40M,$42M,$44M,$46M,$48M,$50M,$52M,$54M,$56M,$58M,$60M,$62M,$64M,$66M,$68M,$70M,$72M,$74M,$76M,$78M,$80M,$82M,$84M,$86M,$88M,$90M,$92M,$94M,$96M,$98M,$100M,$102M,$104M,$106M,$108M,$110M,$112M,$114M,$116M,$118M,$120M,$122M,$124M,$126M,$128M,$130M,$132M,$134M,$136M,$138M,$140M,$142M,$144M,$146M,$148M,$150M,$152M,$154M,$156M,$158M,$160M,$162M,$164M,$166M,$168M,$170M,$172M,$174M,$176M,$178M,$180M,$182M,$184M,$186M,$188M,$190M,$192M,$194M,$196M,$198M,$200M,$202M,$204M,$206M,$208M,$210M,$212M,$214M,$216M,$218M,$220M,$222M,$224M,$226M,$228M,$230M,$232M,$234M,$236M,$238M,$240M,$242M,$244M,$246M,$248M,$250M,$252M,$254M,$256M,$258M,$260M,$262M,$264M,$266M,$268M,$270M,$272M,$274M,$276M,$278M,$280M,$282M,$284M,$286M,$288M,$290M,$292M,$294M,$296M,$298M,$300M,$302M,$304M,$306M,$308M,$310M,$312M,$314M,$316M,$318M,$320M,$322M,$324M,$326M,$328M,$330M,$332M,$334M,$336M,$338M,$340M,$342M,$344M,$346M,$348M,$350M,$352M,$354M,$356M,$358M,$360M,$362M,$364M,$366M,$368M,$370M,$372M,$374M,$376M,$378M,$380M,$382M,$384M,$386M,$388M,$390M,$392M,$394M,$396M,$398M,$400M
navigation_fund_cagefree,100.00%,75.70%,60.98%,51.11%,44.02%,38.68%,34.52%,31.18%,28.43%,26.14%,24.20%,22.53%,21.09%,19.82%,18.69%,17.69%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
navigation_fund_general,100.00%,86.16%,75.36%,66.74%,59.72%,53.90%,49.01%,44.85%,41.27%,38.17%,35.46%,33.06%,30.94%,29.05%,27.35%,25.82%,24.43%,23.17%,22.02%,20.97%,20.00%,19.11%,18.28%,17.52%,16.81%,16.15%,15.53%,14.96%,14.42%,13.91%,13.44%,12.99%,12.57%,12.17%,11.79%,11.44%,11.10%,10.78%,10.47%,10.18%,9.91%,9.64%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
