combo,max_spend_multiplier,method,ea_awf,givewell,leaf,longview_ai,longview_nuclear,navigation_fund_cagefree,navigation_fund_general,sentinel_bio
aw_slow,10,met,33.00,0.00,0.00,0.00,2.00,31.00,30.00,4.00
aw_slow,10,splitCycle,32.50,0.00,0.00,0.00,0.00,31.00,36.50,0.00
aw_slow,10,borda,33.00,0.00,2.00,0.00,0.00,31.00,34.00,0.00
aw_slow,10,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
aw_fast,2.5,nashBargaining,8.60,16.35,6.65,34.95,2.80,7.95,15.50,7.20
aw_fast,2.5,credenceWeighted,8.60,16.35,6.65,34.95,2.80,7.95,15.50,7.20
aw_fast,2.5,mec,9.00,38.00,6.00,0.00,8.00,8.00,21.00,10.00
aw_fast,2.5,met,9.00,49.00,3.00,7.00,1.00,8.00,21.00,2.00
aw_fast,2.5,splitCycle,9.00,55.10,7.10,0.00,0.10,8.00,20.60,0.10
aw_fast,2.5,borda,9.00,55.08,7.08,0.08,0.08,8.00,20.58,0.08
aw_fast,2.5,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
aw_fast,7.5,nashBargaining,7.90,15.75,6.65,34.95,2.80,18.55,6.20,7.20
aw_fast,7.5,credenceWeighted,7.90,15.75,6.65,34.95,2.80,18.55,6.20,7.20
aw_fast,7.5,mec,14.00,0.00,0.00,0.00,22.00,24.00,11.00,29.00
aw_fast,7.5,met,25.00,0.00,0.00,0.00,9.00,24.00,24.00,18.00
aw_fast,7.5,splitCycle,25.00,16.00,6.00,0.00,0.00,24.00,29.00,0.00
aw_fast,7.5,borda,24.50,14.00,5.50,0.00,0.00,24.00,32.00,0.00
aw_fast,7.5,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
aw_fast,10,nashBargaining,7.90,15.75,6.65,34.95,2.80,18.55,6.20,7.20
aw_fast,10,credenceWeighted,7.90,15.75,6.65,34.95,2.80,18.55,6.20,7.20
aw_fast,10,mec,8.00,0.00,0.00,0.00,29.00,18.00,7.00,38.00
aw_fast,10,met,24.00,0.00,0.00,0.00,9.00,31.00,18.00,18.00
aw_fast,10,splitCycle,33.00,1.50,6.00,0.00,0.00,31.00,28.50,0.00
aw_fast,10,borda,32.57,2.07,5.07,0.07,0.07,31.00,29.07,0.07
aw_fast,10,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
gcr_and_aw_slow,2.5,nashBargaining,8.55,15.45,6.55,34.95,0.90,7.80,16.70,9.10
gcr_and_aw_slow,2.5,credenceWeighted,8.55,15.45,6.55,34.95,0.90,7.80,16.70,9.10
gcr_and_aw_slow,2.5,mec,9.00,38.00,6.00,0.00,8.00,8.00,21.00,10.00
gcr_and_aw_slow,2.5,met,9.00,34.00,3.00,19.00,0.00,8.00,21.00,6.00
gcr_and_aw_slow,2.5,splitCycle,9.00,37.00,6.50,18.50,0.00,8.00,21.00,0.00
gcr_and_aw_slow,2.5,borda,9.00,55.20,6.20,0.20,0.20,8.00,21.00,0.20
gcr_and_aw_slow,2.5,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
gcr_and_aw_slow,7.5,nashBargaining,8.00,15.15,4.85,34.95,0.70,23.25,3.80,9.30
gcr_and_aw_slow,7.5,credenceWeighted,8.00,15.15,4.85,34.95,0.70,23.25,3.80,9.30
gcr_and_aw_slow,7.5,mec,16.00,0.00,0.00,0.00,22.00,24.00,9.00,29.00
gcr_and_aw_slow,7.5,met,25.00,0.00,0.00,0.00,2.00,24.00,37.00,12.00
gcr_and_aw_slow,7.5,splitCycle,25.00,0.00,0.00,0.00,0.00,24.00,51.00,0.00
gcr_and_aw_slow,7.5,borda,25.00,0.00,2.00,0.00,0.00,24.00,49.00,0.00
gcr_and_aw_slow,7.5,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
gcr_and_aw_slow,10,nashBargaining,6.70,15.15,4.85,34.95,0.70,25.55,2.80,9.30
gcr_and_aw_slow,10,credenceWeighted,6.70,15.15,4.85,34.95,0.70,25.55,2.80,9.30
gcr_and_aw_slow,10,mec,6.00,0.00,0.00,0.00,29.00,25.00,2.00,38.00
gcr_and_aw_slow,10,met,30.00,0.00,0.00,0.00,4.00,31.00,17.00,18.00
gcr_and_aw_slow,10,splitCycle,32.50,0.00,0.00,0.00,0.00,31.00,36.50,0.00
gcr_and_aw_slow,10,borda,33.00,0.00,2.00,0.00,0.00,31.00,34.00,0.00
gcr_and_aw_slow,10,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
gcr_and_aw_fast,2.5,nashBargaining,8.60,16.35,6.65,34.95,3.20,7.95,15.50,6.80
gcr_and_aw_fast,2.5,credenceWeighted,8.60,16.35,6.65,34.95,3.20,7.95,15.50,6.80
gcr_and_aw_fast,2.5,mec,9.00,38.00,6.00,0.00,8.00,8.00,21.00,10.00
gcr_and_aw_fast,2.5,met,9.00,51.00,3.00,5.00,1.00,8.00,21.00,2.00
gcr_and_aw_fast,2.5,splitCycle,9.00,55.10,7.10,0.00,0.10,8.00,20.60,0.10
gcr_and_aw_fast,2.5,borda,9.00,55.08,7.08,0.08,0.08,8.00,20.58,0.08
gcr_and_aw_fast,2.5,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
gcr_and_aw_fast,7.5,nashBargaining,7.90,15.75,6.65,34.95,3.20,18.55,6.20,6.80
gcr_and_aw_fast,7.5,credenceWeighted,7.90,15.75,6.65,34.95,3.20,18.55,6.20,6.80
gcr_and_aw_fast,7.5,mec,14.00,0.00,0.00,0.00,22.00,24.00,11.00,29.00
gcr_and_aw_fast,7.5,met,25.00,0.00,0.00,0.00,5.00,24.00,37.00,9.00
gcr_and_aw_fast,7.5,splitCycle,25.00,16.00,6.00,0.00,0.00,24.00,29.00,0.00
gcr_and_aw_fast,7.5,borda,24.50,14.00,5.50,0.00,0.00,24.00,32.00,0.00
gcr_and_aw_fast,7.5,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
gcr_and_aw_fast,10,nashBargaining,7.90,15.75,6.65,34.95,3.20,18.55,6.20,6.80
gcr_and_aw_fast,10,credenceWeighted,7.90,15.75,6.65,34.95,3.20,18.55,6.20,6.80
gcr_and_aw_fast,10,mec,8.00,0.00,0.00,0.00,29.00,18.00,7.00,38.00
gcr_and_aw_fast,10,met,31.00,0.00,0.00,0.00,5.00,31.00,24.00,9.00
gcr_and_aw_fast,10,splitCycle,33.00,1.50,6.00,0.00,0.00,31.00,28.50,0.00
gcr_and_aw_fast,10,borda,32.57,2.07,5.07,0.07,0.07,31.00,29.07,0.07
gcr_and_aw_fast,10,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
gcr_slow_aw_fast,2.5,nashBargaining,8.60,16.35,6.65,34.95,0.90,7.95,15.50,9.10
gcr_slow_aw_fast,2.5,credenceWeighted,8.60,16.35,6.65,34.95,0.90,7.95,15.50,9.10
gcr_slow_aw_fast,2.5,mec,9.00,38.00,6.00,0.00,8.00,8.00,21.00,10.00
gcr_slow_aw_fast,2.5,met,9.00,31.00,2.00,18.00,1.00,8.00,21.00,10.00
gcr_slow_aw_fast,2.5,splitCycle,9.00,55.10,7.10,0.00,0.10,8.00,20.60,0.10
gcr_slow_aw_fast,2.5,borda,9.00,55.08,7.08,0.08,0.08,8.00,20.58,0.08
gcr_slow_aw_fast,2.5,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
gcr_slow_aw_fast,7.5,nashBargaining,7.90,15.75,6.65,34.95,0.70,18.55,6.20,9.30
gcr_slow_aw_fast,7.5,credenceWeighted,7.90,15.75,6.65,34.95,0.70,18.55,6.20,9.30
gcr_slow_aw_fast,7.5,mec,14.00,0.00,0.00,0.00,22.00,24.00,11.00,29.00
gcr_slow_aw_fast,7.5,met,23.00,0.00,0.00,0.00,6.00,24.00,18.00,29.00
gcr_slow_aw_fast,7.5,splitCycle,25.00,16.00,6.00,0.00,0.00,24.00,29.00,0.00
gcr_slow_aw_fast,7.5,borda,24.50,14.00,5.50,0.00,0.00,24.00,32.00,0.00
gcr_slow_aw_fast,7.5,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
gcr_slow_aw_fast,10,nashBargaining,7.90,15.75,6.65,34.95,0.70,18.55,6.20,9.30
gcr_slow_aw_fast,10,credenceWeighted,7.90,15.75,6.65,34.95,0.70,18.55,6.20,9.30
gcr_slow_aw_fast,10,mec,8.00,0.00,0.00,0.00,29.00,18.00,7.00,38.00
gcr_slow_aw_fast,10,met,14.00,0.00,0.00,0.00,9.00,28.00,11.00,38.00
gcr_slow_aw_fast,10,splitCycle,33.00,1.50,6.00,0.00,0.00,31.00,28.50,0.00
gcr_slow_aw_fast,10,borda,32.57,2.07,5.07,0.07,0.07,31.00,29.07,0.07
gcr_slow_aw_fast,10,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
gcr_fast_aw_slow,2.5,nashBargaining,8.55,15.45,6.55,34.90,3.20,7.85,16.70,6.80
gcr_fast_aw_slow,2.5,credenceWeighted,8.55,15.45,6.55,34.90,3.20,7.85,16.70,6.80
gcr_fast_aw_slow,2.5,mec,9.00,38.00,6.00,0.00,8.00,8.00,21.00,10.00
gcr_fast_aw_slow,2.5,met,9.00,52.00,3.00,5.00,0.00,8.00,21.00,2.00
gcr_fast_aw_slow,2.5,splitCycle,9.00,50.50,7.00,4.50,0.00,8.00,21.00,0.00
gcr_fast_aw_slow,2.5,borda,9.00,55.20,6.20,0.20,0.20,8.00,21.00,0.20
gcr_fast_aw_slow,2.5,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
gcr_fast_aw_slow,7.5,nashBargaining,8.00,15.15,4.85,34.90,3.20,23.25,3.85,6.80
gcr_fast_aw_slow,7.5,credenceWeighted,8.00,15.15,4.85,34.90,3.20,23.25,3.85,6.80
gcr_fast_aw_slow,7.5,mec,16.00,0.00,0.00,0.00,22.00,24.00,9.00,29.00
gcr_fast_aw_slow,7.5,met,25.00,0.00,0.00,0.00,1.00,24.00,48.00,2.00
gcr_fast_aw_slow,7.5,splitCycle,25.00,0.00,0.00,0.00,0.00,24.00,51.00,0.00
gcr_fast_aw_slow,7.5,borda,25.00,0.00,2.00,0.00,0.00,24.00,49.00,0.00
gcr_fast_aw_slow,7.5,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
gcr_fast_aw_slow,10,nashBargaining,6.75,15.15,4.85,34.90,3.20,25.55,2.80,6.80
gcr_fast_aw_slow,10,credenceWeighted,6.75,15.15,4.85,34.90,3.20,25.55,2.80,6.80
gcr_fast_aw_slow,10,mec,6.00,0.00,0.00,0.00,29.00,25.00,2.00,38.00
gcr_fast_aw_slow,10,met,33.00,0.00,0.00,0.00,1.00,31.00,33.00,2.00
gcr_fast_aw_slow,10,splitCycle,32.50,0.00,0.00,0.00,0.00,31.00,36.50,0.00
gcr_fast_aw_slow,10,borda,33.00,0.00,2.00,0.00,0.00,31.00,34.00,0.00
gcr_fast_aw_slow,10,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
