project_id,effect_id,recipient_type,near_term_xrisk,neutral_t0,neutral_t1,neutral_t2,neutral_t3,neutral_t4,neutral_t5,upside_t0,upside_t1,upside_t2,upside_t3,upside_t4,upside_t5,downside_t0,downside_t1,downside_t2,downside_t3,downside_t4,downside_t5,combined_t0,combined_t1,combined_t2,combined_t3,combined_t4,combined_t5,dmreu_t0,dmreu_t1,dmreu_t2,dmreu_t3,dmreu_t4,dmreu_t5,wlu - low_t0,wlu - low_t1,wlu - low_t2,wlu - low_t3,wlu - low_t4,wlu - low_t5,wlu - moderate_t0,wlu - moderate_t1,wlu - moderate_t2,wlu - moderate_t3,wlu - moderate_t4,wlu - moderate_t5,wlu - high_t0,wlu - high_t1,wlu - high_t2,wlu - high_t3,wlu - high_t4,wlu - high_t5,ambiguity_t0,ambiguity_t1,ambiguity_t2,ambiguity_t3,ambiguity_t4,ambiguity_t5,ambiguity bilateral_t0,ambiguity bilateral_t1,ambiguity bilateral_t2,ambiguity bilateral_t3,ambiguity bilateral_t4,ambiguity bilateral_t5
sentinel_bio,effect_human_lives_extinction,human_life_years,False,119.8809124478689,1168.4605038701552,5272.004228407171,58701.45063262606,356136.4760669786,6.231181168632534e+19,76.33029374046758,892.9456468118208,4114.901348738894,44583.25855472478,268118.58924932056,-9.882104833792391e+18,39.22091829195024,382.6003625565106,1739.604778903654,19454.582766804317,118188.26080167483,2.2783094912866755e+19,-60.31414230038376,-396.36956746057245,-1660.7336079736374,-19876.612707820317,-122595.38026937522,-5.050684744484233e+19,-9.67524050116299,-19.534286342497253,-35.102275982769,-905.123318983074,-6238.449779172124,-1.4305126462312702e+19,41.36001613440025,429.75336174727374,1929.5325351235504,20970.87458116966,124863.47183935806,1.3272536765598208e+19,27.298896286921455,253.6336846780491,1018.709634073914,8672.742348269616,40801.412000449774,-1.983434882716312e+19,10.832727314587125,47.85220896508039,-29.06335180872316,-4875.248237455092,-48379.05201223759,-2.8628921707884028e+19,22.13878198201685,406.9588657530053,1950.1848825744237,20242.64415955105,120642.00626548045,-1.009947666321083e+19,43.56905111704905,613.6770406915443,2876.6128995822846,30540.42803242245,183072.66675225814,2419790422604867.0
sentinel_bio_100m_1b,effect_human_lives_sub_ext_100m_1b,human_life_years,False,838.5656092668316,2121.699152292186,2257.6192750668038,1208.2744565791966,0.16161765419865848,0.0,786.1274275252317,2034.796616823114,2089.48141841423,793.5514745085923,-0.031498612046026296,0.0,277.85957896328756,701.3673770769525,746.1049684512134,395.9223013100928,0.03562320601455341,0.0,-26.708811661748666,94.48800138893749,-189.768366361891,-671.7016096115583,-0.1609938545874008,0.0,103.95000893641509,403.93279874592747,195.76090363226905,-120.75843132745163,-0.04784499627886972,0.0,299.7035483589956,786.7602751343472,781.2464943177933,374.28305387776,0.04437597718575542,0.0,193.95916639788376,490.7173368085016,462.19871666880323,203.16375247871974,0.02502189931986038,0.0,66.37425636876405,129.3899426015308,86.88898237334223,12.83912724099251,0.0029713946929032726,0.0,546.4607297584462,1546.3912595435386,1355.3442508573544,158.707708539047,-0.03219877091748016,0.0,684.7318909984155,1869.9150782282943,1743.1136502203706,374.41288742419454,0.0,0.0
sentinel_bio_10m_100m,effect_human_lives_sub_ext_10m_100m,human_life_years,False,212.2594815590786,536.9961065791484,571.4586986157111,306.03724856243053,0.040283708354409975,0.0,198.84705381820442,514.8587504698426,528.9276918916137,201.40064632827557,-0.008908286610989611,0.0,70.67210149430744,178.55013522263846,189.53128897608465,101.83251032692242,0.004650561910451543,0.0,-6.546822017050158,24.61702054631344,-47.795235879034806,-168.47613024337699,-0.04553151094965404,0.0,26.32761266883191,102.25920543246346,49.49751401021227,-30.056719787489406,-0.013546870900833737,0.0,77.0155342244407,202.16848183138163,200.76274572084162,96.66060453632211,0.010148452213360895,0.0,54.52536937642814,138.50130014539886,131.25597513146525,58.83246698275397,0.005870020021379768,0.0,26.98395908117687,59.71852008548871,47.875828422709,15.581767114409455,0.0008777629697487624,0.0,138.18779704648682,391.03061683866065,342.6217498638139,40.26772098096963,-0.009106302189930809,0.0,173.13052966039936,472.73118958401176,440.64743387404576,94.49892715633405,0.0,0.0
sentinel_bio_1b_8b,effect_human_lives_sub_ext_1b_8b,human_life_years,False,952.328474622979,2408.677450847654,2562.775444722781,1371.8191737052105,0.20931044179641017,0.0,911.8452613685286,2347.481748086346,2436.0933975675466,964.3900126358934,-0.03408932785913176,0.0,315.9924982822439,797.4146052551556,846.073920565657,453.50822647414435,0.07295313035988303,0.0,18.587529634327375,226.24229371970048,-79.24973536915685,-707.8540001454207,-0.17423536898438194,0.0,144.46533100990277,540.0366165525259,284.85810326815226,-121.76683564058749,-0.05168796513133649,0.0,340.51310640941784,893.6612427465018,886.5965469239635,426.00587397679476,0.06431588429271734,0.0,220.37102092829622,557.5617459800723,524.0576039721047,231.74013141290465,0.039825857958679475,0.0,75.08988308862067,146.17978171317068,96.79285425300739,15.524480824985957,0.012056549404943705,0.0,669.0681380753343,1873.3206848967816,1675.6110511713605,230.86938797407313,-0.03484707379687639,0.0,822.7813440595967,2227.949372737642,2110.478431251915,475.84391289199687,0.0,0.0
longview_nuclear,effect_human_lives_extinction,human_life_years,False,103.26115589817582,1049.6999020812418,5080.0284762165065,58720.66166675029,356592.9265325743,5.6854889810774606e+19,61.95937978079902,786.3801458094495,3944.4119102051927,44501.140137310635,267980.8709683574,-1.0371770199797242e+19,33.272720040161374,344.75675693415366,1678.7474698112792,19384.604324874985,117551.81045079912,1.5367514006552066e+19,-57.07317187197269,-378.02897143758554,-1613.9634590942971,-19912.848974282973,-123353.4930599538,-5.300957695799317e+19,-10.0519326860428,-27.042966042199488,-40.223577362672955,-914.8643817926634,-6421.016647087996,-1.5086269960636602e+19,34.80327188028754,382.7468313406953,1859.401302560942,20952.361896286035,124756.40110620615,9.984966375849415e+18,22.836296185295758,226.30739892848405,984.2139653478343,8642.572130003566,40487.56261427466,-2.153879547493205e+19,8.866776047736877,44.05540349887201,-22.51307638682202,-4919.396244063679,-48916.054145655406,-3.0104267955909878e+19,14.470984098202988,342.58382277925176,1862.9220554544002,20297.57989468336,121001.08755868244,-1.0600009592433881e+19,33.02574251116365,528.6256820836421,2755.586163184292,30621.647818953064,183734.44529282255,2436373916859395.5
longview_nuclear_100m_1b,effect_human_lives_sub_ext_100m_1b,human_life_years,False,723.0702049531698,2000.3926760164975,2382.4708508767376,1320.1425779379165,0.24380107489850875,0.0,670.4759496839242,1914.133812118875,2214.6568440442534,897.7802655859566,-0.05339611706909404,0.0,239.39265795827006,661.2544744855467,787.5654617158648,433.0470382412568,0.030216606622132477,0.0,-50.91007816281804,70.52574915136212,-163.6699087119444,-689.9262219826126,-0.272915095255381,0.0,68.52004632578172,362.08186348722086,231.8139340728549,-119.77665150352121,-0.08113080544257494,0.0,252.9524381845126,737.0436242267535,830.3832377352448,411.0419269221066,0.060529833330874167,0.0,163.11128712269982,459.77061902939045,492.0365635030547,223.66000276187816,0.029295197244539543,0.0,55.56722038403537,122.30143296214905,92.79987802543936,14.833733060418602,-0.006058142442540056,0.0,443.518771935744,1439.4306429586115,1466.6874284814012,216.88789487034478,-0.054583019051076195,0.0,566.8079199112998,1748.0725568227883,1871.3308737078548,453.3689623098834,0.0,0.0
longview_nuclear_10m_100m,effect_human_lives_sub_ext_10m_100m,human_life_years,False,183.013672102831,506.3390221453078,602.9779300604233,334.4008202263051,0.06037448985576253,0.0,169.56114648948036,484.30838062377643,560.5020922305788,228.03640294775042,-0.015915346117758893,0.0,60.855762589184856,168.41300253192261,200.03378760159822,111.29142075377364,-0.0032868946152730233,0.0,-12.732990303660864,18.559578168355255,-41.129124977789616,-173.11695070595317,-0.08134558166710945,0.0,17.35919416917306,91.68868173247387,58.623271670138934,-29.80497232779286,-0.02421737057632909,0.0,65.00017166923328,189.43802309659358,213.34847805117312,106.13118491250941,0.012475281272685431,0.0,45.8807487006604,129.81183835823344,139.67069598062298,64.71228669238424,0.005400851479747939,0.0,22.618535483592677,56.2064569566293,51.054838244000194,17.276227713241195,-0.002804733578315399,0.0,112.14027517358326,363.9971001991084,370.7717586742881,54.95177920047803,-0.016269116333421884,0.0,143.29526061405554,441.9432562453459,473.0496175988887,114.43712930255937,0.0,0.0
longview_nuclear_1b_8b,effect_human_lives_sub_ext_1b_8b,human_life_years,False,821.2156886723042,2271.1767716071226,2704.1757109122686,1498.9175407325536,0.32414241617683504,0.0,779.913136882557,2210.1182608706686,2578.3647634425934,1086.5387312173848,-0.055349266905418734,0.0,272.3722986056206,751.8586935747028,893.1002656439958,495.6282005346886,0.1027453485551603,0.0,-14.231688356927153,193.34186525207042,-43.40550145211305,-721.4343989678592,-0.2828979199042001,0.0,98.7771613614424,485.93406605329466,331.4821708805584,-118.53542582302913,-0.08386968685196662,0.0,287.43773491085466,837.2512971887688,942.293028857678,467.75439681974257,0.09662268599483174,0.0,185.3440677101916,522.4055211357077,557.9037107169316,254.98932769529375,0.057099016367212437,0.0,62.895697840800416,138.1580656143109,103.44817176520793,17.703402988934908,0.012543244766807933,0.0,546.8115271507156,1746.431718032538,1807.9269728568024,304.1563026724793,-0.05657958398084002,0.0,684.6631400943896,2085.474869813521,2260.6022226857485,572.8982478607386,0.0,0.0
longview_ai,effect_human_lives_extinction,human_life_years,True,308.0070872980706,2191.0318354549445,9039.652628137612,98677.08280525122,597979.2844343885,1.0537263872061743e+20,210.8906498708106,1776.0579225942802,7496.078981706312,78841.78871774474,470594.0862286414,-1.4256719442932765e+20,-1552.5038588972122,-11000.668050109283,-45440.891997007086,-497429.4402134844,-3016365.6803159635,-4.648961938994281e+20,-1961.8789339544567,-13270.228389878857,-54478.077719197114,-603046.3572234384,-3668021.7341348836,-7.286642261527948e+20,-526.0462044187311,-3360.294435440578,-13646.741827040147,-152741.82773241156,-931296.3415193448,-2.1495190577411057e+20,-355.0526930467369,-2596.1756864695058,-10887.401282810357,-121949.31540877295,-751677.9884273284,-1.5205310613479218e+20,-471.87540448403104,-3592.531389158272,-15533.383085849908,-182638.3963999371,-1162356.0635539037,-2.879888020461701e+20,-606.4500919909149,-4715.557529295614,-20624.92542152724,-245170.4525725553,-1564220.1126297915,-3.19535243593414e+20,-60.012094283224464,214.69983510991574,1213.4738095278371,6310.567743586982,26663.776664507808,-1.4571931810157899e+20,242.93846382849506,1953.1281940602737,8178.331344155307,86532.89713135634,519359.7369596004,1.4605875907686052e+16
longview_ai_100m_1b,effect_human_lives_sub_ext_100m_1b,human_life_years,True,154.02647586292602,291.23399160516874,301.28776373671934,164.4724255102207,0.020075752748832942,0.0,127.84309695345745,252.3729950574853,228.1561694996265,5.0625201487042,-0.034476414434219886,0.0,-776.2184801621926,-1470.921301600483,-1526.0319369306474,-839.80071112839,-0.11782990498804657,0.0,-937.5091715253758,-1744.4932995703864,-1911.6377721797428,-1217.0032381222936,-0.17621382313631134,0.0,-241.77140767235525,-436.2699460798644,-514.8540812913309,-339.15365660459247,-0.05287965589027477,0.0,-177.11624085210485,-339.8895173576005,-347.6868891928358,-187.52870672648817,-0.026239377795799903,0.0,-229.6007839533246,-446.4724863651537,-461.18461841151276,-252.10659907514514,-0.0333200881924488,0.0,-291.39586857079746,-571.3671183993229,-591.9626124721162,-324.4878892821911,-0.04148984979833228,0.0,13.41349746165013,56.83161354151803,-43.69996117991942,-190.40687197271853,-0.03524276462726227,0.0,138.85106104439512,272.75912716543013,249.47703763074836,54.75964240429447,0.0,0.0
